BIBTEXKEY,first_name,middle_name,last_name,full_name,JOURNAL,NUMBER,PAGES,PUBLISHER,TITLE,VOLUME,YEAR,DOI,ISSN,AUTHOR_KEYWORDS,PUBLICATION_STAGE,AFFILIATIONS,Affiliation_country,Affiliation_country_code,Gender,Gender.Probability,Gender.Count,author_id,paper_id_author_id,author_order,Max,author_last,author_single,unique_name,OA,Citations
Bribitzer-Stull2006315,Matthew,NA,Bribitzer-Stull,Matthew Bribitzer-Stull,Music Analysis,3,315 – 340,NA,"The end of Die Feen and Wagner's beginnings: Multiple approaches to an early example of double-tonic complex, associative theme and Wagnerian form",25,2006,10.1111/j.1468-2249.2006.00245.x,2625245,NA,Final,NA,NA,NA,male,0.99,183,author1,Bribitzer-Stull2006315_author1,1,1,0,1,bribitzer-stull_matthew,Undefined,9
Santa2000167,Matthew,NA,Santa,Matthew Santa,Music Analysis,2,167 – 201,NA,Analysing post-tonal diatonic music: A modulo 7 perspective,19,2000,10.1111/1468-2249.00116,2625245,NA,Final,"Texas Tech University, United States",United States,US,male,1,397759,author1,Santa2000167_author1,1,1,0,1,santa_matthew,Undefined,2
Kramer2001153,Lawrence,NA,Kramer,Lawrence Kramer,Music Analysis,2,153 – 178,NA,"The mysteries of animation: History, analysis and musical subjectivity",20,2001,10.1111/1468-2249.00134,2625245,NA,Final,"Century Music, United States",United States,US,male,1,58380,author1,Kramer2001153_author1,1,1,0,1,kramer_lawrence,Undefined,34
Ravenscroft2003253,Brenda,NA,Ravenscroft,Brenda Ravenscroft,Music Analysis,3,253 – 282,Blackwell Publishing Ltd,Setting the Pace: The role of speeds in Elliott Carter's A Mirror on Which to Dwell,22,2003,10.1111/j.0262-5245.2003.00186.x,2625245,NA,Final,NA,NA,NA,female,0.99,154,author1,Ravenscroft2003253_author1,1,1,0,1,ravenscroft_brenda,Undefined,5
Russ2000233,Michael,NA,Russ,Michael Russ,Music Analysis,2,233 – 255,NA,"Accounting and mediating: Modes, genera, voice-leading and form in Milhaud",19,2000,10.1111/1468-2249.00118,2625245,NA,Final,"University of Ulster, United Kingdom",United Kingdom,GB,male,1,210764,author1,Russ2000233_author1,1,1,0,1,russ_michael,Undefined,1
Leach2000321,Elizabeth,Eva,Leach,Elizabeth Eva Leach,Music Analysis,3,321 – 351,NA,Interpretation and counterpoint: The case of Guillaume de Machaut's De Toutes Flours (B31),19,2000,10.1111/1468-2249.00123,2625245,NA,Final,"University of Bristol, United Kingdom",United Kingdom,GB,female,1,49581,author1,Leach2000321_author1,1,1,0,1,leach_elizabeth,Undefined,13
Kramer2004361,Jonathan,D.,Kramer,Jonathan D. Kramer,Music Analysis,2-3,361 – 372,Blackwell Publishing Ltd,The concept of disunity and musical analysis,23,2004,10.1111/j.0262-5245.2004.00210.x,2625245,NA,Final,NA,NA,NA,male,0.98,224,author1,Kramer2004361_author1,1,1,0,1,kramer_jonathan,Undefined,13
Agawu2004267,Kofi,NA,Agawu,Kofi Agawu,Music Analysis,2-3,267 – 286,Blackwell Publishing Ltd,"How we got out of analysis, and how to get back in again",23,2004,10.1111/j.0262-5245.2004.00204.x,2625245,NA,Final,NA,NA,NA,male,1,2,author1,Agawu2004267_author1,1,1,0,1,agawu_kofi,Undefined,68
Davies200725,Benjamin,K.,Davies,Benjamin K. Davies,Music Analysis,1-2,25 – 58,NA,"The structuring of tonal space in Webern's six bagatelles for string quartet, Op. 9",26,2007,10.1111/j.1468-2249.2008.00273.x,2625245,NA,Final,NA,NA,NA,male,0.98,266,author1,Davies200725_author1,1,1,0,1,davies_benjamin,Open Access,7
Williams2008193,Alastair,NA,Williams,Alastair Williams,Music Analysis,2-3,193 – 199,NA,"New music, late style: Adorno's 'Form in the New Music'",27,2008,10.1111/j.1468-2249.2009.00279.x,2625245,NA,Final,"Keele University, United Kingdom",United Kingdom,GB,male,1,10136,author1,Williams2008193_author1,1,1,0,1,williams_alastair,Undefined,8
